
2024/10/12 (18:10:07) | ===> btop++ v.1.4.0
2024/10/12 (18:10:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (21:22:02) | ===> btop++ v.1.4.0
2024/10/12 (21:22:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (21:23:20) | ===> btop++ v.1.4.0
2024/10/12 (21:23:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (01:11:46) | ===> btop++ v.1.4.0
2024/10/13 (01:11:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (10:52:27) | ===> btop++ v.1.4.0
2024/10/13 (10:52:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (17:55:17) | ===> btop++ v.1.4.0
2024/10/13 (17:55:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:33:22) | ===> btop++ v.1.4.0
2024/10/15 (16:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:34:00) | ===> btop++ v.1.4.0
2024/10/15 (16:34:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (17:32:46) | ===> btop++ v.1.4.0
2024/10/15 (17:32:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:33:12) | ===> btop++ v.1.4.0
2024/10/16 (23:33:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:33:22) | ===> btop++ v.1.4.0
2024/10/16 (23:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:33:26) | ===> btop++ v.1.4.0
2024/10/16 (23:33:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (15:27:21) | ===> btop++ v.1.4.0
2024/10/17 (15:27:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (15:27:40) | ===> btop++ v.1.4.0
2024/10/17 (15:27:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:00:44) | ===> btop++ v.1.4.0
2024/10/18 (12:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (10:03:27) | ===> btop++ v.1.4.0
2024/10/30 (10:03:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (10:04:01) | ===> btop++ v.1.4.0
2024/10/30 (10:04:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (12:46:49) | ===> btop++ v.1.4.0
2024/11/11 (12:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (05:40:40) | ===> btop++ v.1.4.0
2024/11/17 (05:40:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (09:05:18) | ===> btop++ v.1.4.0
2024/11/21 (09:05:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (21:03:19) | ===> btop++ v.1.4.0
2024/11/23 (21:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (21:05:22) | ===> btop++ v.1.4.0
2024/11/23 (21:05:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (04:37:42) | ===> btop++ v.1.4.0
2025/04/13 (04:37:42) | WARNING: Intel GPU: Failed to initialize PMU
